User_ID,Permission_Name
U00001,Edit_Inventory
U00002,Prod_Deploy
U00002,Modify_Payroll
U00003,Modify_Payroll
U00003,Create_Vendor
U00003,Manage_Users
U00004,Approve_PO
U00004,Approve_Payment
U00007,Prod_Deploy
U00007,Dev_Access
U00007,Manage_Users
U00008,Manage_Users
U00008,Create_Vendor
U00008,Approve_PO
U00009,Create_Paycheck
U00009,Prod_Deploy
U00009,Modify_Payroll
U00010,View_Sensitive_Data
U00010,Modify_Payroll
U00011,Prod_Deploy
U00011,Dev_Access
U00011,Manage_Users
U00013,Manage_Users
U00013,Create_Vendor
U00013,View_Sensitive_Data
U00014,Manage_Users
U00014,Approve_Payment
U00014,Modify_Payroll
U00014,Edit_Inventory
U00014,Create_Vendor
U00015,Modify_Payroll
U00015,Manage_Users
U00016,Create_Vendor
U00016,View_Sensitive_Data
U00017,Approve_PO
U00018,Approve_Payment
U00019,Manage_Users
U00019,Edit_Inventory
U00019,Approve_Payment
U00020,Create_Vendor
U00020,Modify_Payroll
U00020,View_Sensitive_Data
U00022,Approve_Payment
U00023,Edit_Inventory
U00023,Modify_Payroll
U00023,Manage_Users
U00024,Create_Paycheck
U00024,Create_Vendor
U00025,Modify_Payroll
U00025,Manage_Users
U00025,View_Sensitive_Data
U00026,Edit_Inventory
U00026,Modify_Payroll
U00027,View_Sensitive_Data
U00027,Create_Vendor
U00028,Manage_Users
U00028,View_Sensitive_Data
U00029,Edit_Inventory
U00029,Approve_PO
U00030,View_Sensitive_Data
U00030,Create_Vendor
U00030,Manage_Users
U00031,Edit_Inventory
U00031,View_Sensitive_Data
U00031,Modify_Payroll
U00032,Approve_Payment
U00033,Edit_Inventory
U00034,Manage_Users
U00035,Dev_Access
U00035,Modify_Payroll
U00035,Prod_Deploy
U00036,Approve_Payment
U00037,Manage_Users
U00037,Modify_Payroll
U00037,Dev_Access
U00038,Create_Paycheck
U00039,Manage_Users
U00039,Prod_Deploy
U00040,Modify_Payroll
U00041,Manage_Users
U00041,Approve_Payment
U00041,Modify_Payroll
U00041,View_Sensitive_Data
U00041,Create_Vendor
U00042,Modify_Payroll
U00042,Approve_Payment
U00042,Edit_Inventory
U00043,View_Sensitive_Data
U00043,Modify_Payroll
U00044,Prod_Deploy
U00045,Create_Vendor
U00045,Manage_Users
U00045,Approve_PO
U00046,View_Sensitive_Data
U00046,Prod_Deploy
U00047,Dev_Access
U00047,Approve_Payment
U00047,Prod_Deploy
U00048,Manage_Users
U00048,Prod_Deploy
U00049,Create_Vendor
U00049,Modify_Payroll
U00049,Edit_Inventory
U00050,Create_Vendor
U00050,Approve_PO
U00050,View_Sensitive_Data
U00051,Create_Vendor
U00052,Create_Vendor
U00052,View_Sensitive_Data
U00053,Modify_Payroll
U00054,Create_Vendor
U00055,Create_Paycheck
U00055,Manage_Users
U00056,Modify_Payroll
U00056,Prod_Deploy
U00057,Dev_Access
U00057,Edit_Inventory
U00057,Manage_Users
U00058,Edit_Inventory
U00058,Manage_Users
U00059,Create_Paycheck
U00060,Prod_Deploy
U00060,View_Sensitive_Data
U00061,Dev_Access
U00062,Prod_Deploy
U00063,View_Sensitive_Data
U00063,Manage_Users
U00063,Prod_Deploy
U00066,Modify_Payroll
U00066,Approve_Payment
U00066,Dev_Access
U00067,Dev_Access
U00068,Create_Vendor
U00068,Approve_PO
U00069,Create_Paycheck
U00069,Edit_Inventory
U00069,Approve_Payment
U00070,Create_Paycheck
U00070,Prod_Deploy
U00070,Dev_Access
U00071,Approve_PO
U00071,Create_Paycheck
U00072,Prod_Deploy
U00072,Edit_Inventory
U00073,Dev_Access
U00073,Approve_PO
U00074,View_Sensitive_Data
U00074,Approve_Payment
U00074,Modify_Payroll
U00075,Modify_Payroll
U00076,View_Sensitive_Data
U00076,Approve_Payment
U00077,Create_Vendor
U00077,Dev_Access
U00078,Manage_Users
U00078,Create_Paycheck
U00078,Create_Vendor
U00079,Edit_Inventory
U00079,Approve_Payment
U00080,Edit_Inventory
U00080,Manage_Users
U00082,Create_Paycheck
U00082,Edit_Inventory
U00082,Dev_Access
U00083,Create_Vendor
U00084,Create_Paycheck
U00084,Dev_Access
U00084,Approve_PO
U00085,View_Sensitive_Data
U00085,Create_Paycheck
U00085,Edit_Inventory
U00086,Create_Vendor
U00087,Approve_PO
U00087,Dev_Access
U00087,Edit_Inventory
U00088,View_Sensitive_Data
U00088,Create_Vendor
U00088,Approve_PO
U00089,Prod_Deploy
U00089,Approve_PO
U00090,Modify_Payroll
U00090,Create_Paycheck
U00091,View_Sensitive_Data
U00092,View_Sensitive_Data
U00093,Modify_Payroll
U00093,Create_Paycheck
U00093,Prod_Deploy
U00094,Prod_Deploy
U00095,Approve_PO
U00096,Create_Paycheck
U00096,Edit_Inventory
U00096,Approve_PO
U00098,Prod_Deploy
U00099,Dev_Access
U00100,Create_Vendor
U00100,Dev_Access
U00100,Create_Paycheck
U00101,Approve_Payment
U00101,Create_Vendor
U00101,Approve_PO
U00102,Create_Vendor
U00103,Edit_Inventory
U00103,View_Sensitive_Data
U00104,Create_Vendor
U00104,Prod_Deploy
U00104,Dev_Access
U00105,Dev_Access
U00105,Prod_Deploy
U00106,Dev_Access
U00106,Prod_Deploy
U00106,Manage_Users
U00107,Manage_Users
U00107,Approve_Payment
U00107,View_Sensitive_Data
U00108,Modify_Payroll
U00108,Prod_Deploy
U00108,Dev_Access
U00109,Approve_PO
U00109,Prod_Deploy
U00110,View_Sensitive_Data
U00110,Approve_Payment
U00110,Prod_Deploy
U00111,Create_Vendor
U00112,Manage_Users
U00112,Prod_Deploy
U00112,View_Sensitive_Data
U00112,Dev_Access
U00113,Create_Paycheck
U00114,View_Sensitive_Data
U00116,Modify_Payroll
U00116,Create_Paycheck
U00117,Modify_Payroll
U00117,Create_Vendor
U00118,Dev_Access
U00118,Manage_Users
U00118,Create_Paycheck
U00119,Prod_Deploy
U00119,Manage_Users
U00119,Edit_Inventory
U00120,Manage_Users
U00121,Manage_Users
U00121,Edit_Inventory
U00122,Approve_Payment
U00122,View_Sensitive_Data
U00122,Manage_Users
U00123,Approve_Payment
U00123,View_Sensitive_Data
U00123,Modify_Payroll
U00124,Create_Paycheck
U00124,Create_Vendor
U00125,View_Sensitive_Data
U00125,Manage_Users
U00125,Modify_Payroll
U00126,Modify_Payroll
U00126,Approve_PO
U00127,Modify_Payroll
U00127,Approve_Payment
U00128,Modify_Payroll
U00129,Prod_Deploy
U00129,View_Sensitive_Data
U00129,Modify_Payroll
U00130,Dev_Access
U00130,Modify_Payroll
U00131,Approve_Payment
U00132,View_Sensitive_Data
U00132,Dev_Access
U00133,Modify_Payroll
U00133,Dev_Access
U00135,Edit_Inventory
U00135,Approve_PO
U00135,Prod_Deploy
U00135,Dev_Access
U00136,Approve_PO
U00136,Manage_Users
U00136,Modify_Payroll
U00138,Prod_Deploy
U00138,Modify_Payroll
U00138,Dev_Access
U00139,Manage_Users
U00141,Create_Paycheck
U00141,Dev_Access
U00141,Approve_PO
U00142,View_Sensitive_Data
U00142,Edit_Inventory
U00143,Edit_Inventory
U00145,Create_Paycheck
U00145,Prod_Deploy
U00145,View_Sensitive_Data
U00146,Edit_Inventory
U00146,Create_Vendor
U00146,Approve_Payment
U00147,Create_Paycheck
U00148,Manage_Users
U00149,Prod_Deploy
U00150,Prod_Deploy
U00151,Approve_PO
U00151,Dev_Access
U00151,Create_Vendor
U00152,Modify_Payroll
U00152,Create_Vendor
U00152,Edit_Inventory
U00153,Dev_Access
U00153,Manage_Users
U00153,Create_Vendor
U00154,Approve_PO
U00155,Approve_PO
